,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
381,61,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,luj0*****,5,21.10.30.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,급하게 주문 했는데 말씀 해주신 대로 정말 딱 맞게 왔어요!! 저번에 지인 분께서 선물 해주셔서 먹어봤는데 너무 만족해서 저도 다음에 구매해봐야겠다고 생각하고있었거든요 ㅎㅎ 친구가 다음 달에 중요한 시험을 치는데 힘 내고 건강 챙기면 좋겠어서 구입 했어용😆 엄청 꼼꼼하게 포장해주시고 서비스 스틱도 몇 개 챙겨주셔서 감사해요💛 내일 친구한테 선물할 건데 분명히 좋아할 거 같아요! ㅎㅎ 다음에 또 주문할게용❤️
382,62,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,eunh******,5,21.10.07.,"상품구성선택: 천연꿀 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,패키지 진짜 이뻐요!!
383,63,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,ghrl***,5,21.09.14.,"상품구성선택: 천연꿀 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물하려고 구매했다가 제가 먹으려고 또구매했어요^^
384,64,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,ghrl***,5,21.09.14.,"상품구성선택: 블렌딩 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물하려고 구매했다가 제가 먹으려고 또구매했어요^^
385,65,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,cuty***,5,21.09.15.,"상품구성선택: 블렌딩 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,맛도좋고 심플해요 굿
386,66,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,hoog***,5,21.08.20.,"상품구성선택: 블렌딩 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"선물하기 딱좋은거같아요!
배송도 빠르고 보관통도 감각적인디자인에 왠지 기분좋아지네요~
다음번에 또 재구매할께요 ^^"
387,67,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,doff*******,5,21.09.12.,"상품구성선택: 블렌딩 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,이쁘고 선물하기좋아요 ㅎ
388,68,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,cuty***,5,21.09.14.,"상품구성선택: 천연꿀 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,항상 시켜먹으께요 굿굿
389,69,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,h4****,5,21.08.23.,"상품구성선택: 천연꿀 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장도 꿀맛도 아주 굿이에요 서비스로 보내주신 스틱꿀도 많이 보내주시고 감사합니다^^
390,70,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,kimj*****,5,21.09.04.,"상품구성선택: 블렌딩 허니스틱15포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,생각보다 작지만 예쁘고 선물하기 좋겠어요
